estrutura-linguagem tempo tamanho_da_entrada
queue-python 0 204
queue-python 64 327
queue-python 64 594
queue-python 64 607
queue-python 64 760
queue-python 64 646
queue-python 0 204
queue-python 0 146
queue-python 64 318
queue-python 64 507
queue-python 0 243
queue-python 64 627
queue-python 64 511
queue-python 64 610
queue-python 64 387
queue-python 64 604
queue-python 64 646
queue-python 64 331
queue-python 64 413
queue-python 64 750
queue-python 64 477
queue-python 64 917
queue-python 64 483
queue-python 64 613
queue-python 64 788
queue-python 64 492
queue-python 64 646
queue-python 64 663
queue-python 64 972
queue-python 64 854
queue-python 64 932
queue-python 64 478
queue-python 64 621
queue-python 0 176
queue-python 64 562
queue-python 64 291
queue-python 0 128
queue-python 64 698
queue-python 64 392
queue-python 64 277
queue-python 64 491
queue-python 0 164
queue-python 64 961
queue-python 64 559
queue-python 64 480
queue-python 64 300
queue-python 64 650
queue-python 0 110
queue-python 64 431
queue-python 64 685
queue-python 64 753
queue-python 64 483
queue-python 64 489
queue-python 64 502
queue-python 0 163
queue-python 64 583
queue-python 0 217
queue-python 64 433
queue-python 64 874
queue-python 64 718
queue-python 64 522
queue-python 64 880
queue-python 0 126
queue-python 64 1000
queue-python 64 526
queue-python 64 770
queue-python 64 896
queue-python 64 477
queue-python 64 751
queue-python 64 372
queue-python 64 532
queue-python 0 147
queue-python 64 335
queue-python 64 661
queue-python 64 571
queue-python 64 449
queue-python 64 898
queue-python 64 366
queue-python 64 429
queue-python 64 466
queue-python 64 355
queue-python 64 526
queue-python 64 709
queue-python 64 562
queue-python 64 609
queue-python 64 600
queue-python 64 941
queue-python 0 211
queue-python 0 254
queue-python 64 410
queue-python 64 457
queue-python 64 827
queue-python 64 592
queue-python 0 230
queue-python 64 424
queue-python 64 680
queue-python 64 496
queue-python 64 877
queue-python 64 817
queue-python 0 132
queue-python 0 204
queue-python 64 327
queue-python 64 594
queue-python 64 607
queue-python 64 760
queue-python 64 646
queue-python 0 204
queue-python 0 146
queue-python 64 318
queue-python 64 507
queue-python 0 243
queue-python 64 627
queue-python 64 511
queue-python 64 610
queue-python 64 387
queue-python 64 604
queue-python 64 646
queue-python 64 331
queue-python 64 413
queue-python 64 750
queue-python 64 477
queue-python 64 917
queue-python 64 483
queue-python 64 613
queue-python 64 788
queue-python 64 492
queue-python 64 646
queue-python 64 663
queue-python 64 972
queue-python 64 854
queue-python 64 932
queue-python 64 478
queue-python 64 621
queue-python 0 176
queue-python 64 562
queue-python 64 291
queue-python 0 128
queue-python 64 698
queue-python 64 392
queue-python 64 277
queue-python 64 491
queue-python 0 164
queue-python 64 961
queue-python 64 559
queue-python 64 480
queue-python 64 300
queue-python 64 650
queue-python 0 110
queue-python 64 431
queue-python 64 685
queue-python 64 753
queue-python 64 483
queue-python 64 489
queue-python 64 502
queue-python 0 163
queue-python 64 583
queue-python 0 217
queue-python 64 433
queue-python 64 874
queue-python 64 718
queue-python 64 522
queue-python 64 880
queue-python 0 126
queue-python 64 1000
queue-python 64 526
queue-python 64 770
queue-python 64 896
queue-python 64 477
queue-python 64 751
queue-python 64 372
queue-python 64 532
queue-python 0 147
queue-python 64 335
queue-python 64 661
queue-python 64 571
queue-python 64 449
queue-python 64 898
queue-python 64 366
queue-python 64 429
queue-python 64 466
queue-python 64 355
queue-python 64 526
queue-python 64 709
queue-python 64 562
queue-python 64 609
queue-python 64 600
queue-python 64 941
queue-python 0 211
queue-python 0 254
queue-python 64 410
queue-python 64 457
queue-python 64 827
queue-python 64 592
queue-python 0 230
queue-python 64 424
queue-python 64 680
queue-python 64 496
queue-python 64 877
queue-python 64 817
queue-python 0 132
queue-python 0 204
queue-python 64 327
queue-python 64 594
queue-python 64 607
queue-python 64 760
queue-python 64 646
queue-python 0 204
queue-python 0 146
queue-python 64 318
queue-python 64 507
queue-python 0 243
queue-python 64 627
queue-python 64 511
queue-python 64 610
queue-python 64 387
queue-python 64 604
queue-python 64 646
queue-python 64 331
queue-python 64 413
queue-python 64 750
queue-python 64 477
queue-python 64 917
queue-python 64 483
queue-python 64 613
queue-python 64 788
queue-python 64 492
queue-python 64 646
queue-python 64 663
queue-python 64 972
queue-python 64 854
queue-python 64 932
queue-python 64 478
queue-python 64 621
queue-python 0 176
queue-python 64 562
queue-python 64 291
queue-python 0 128
queue-python 64 698
queue-python 64 392
queue-python 64 277
queue-python 64 491
queue-python 0 164
queue-python 64 961
queue-python 64 559
queue-python 64 480
queue-python 64 300
queue-python 64 650
queue-python 0 110
queue-python 64 431
queue-python 64 685
queue-python 64 753
queue-python 64 483
queue-python 64 489
queue-python 64 502
queue-python 0 163
queue-python 64 583
queue-python 0 217
queue-python 64 433
queue-python 64 874
queue-python 64 718
queue-python 64 522
queue-python 64 880
queue-python 0 126
queue-python 64 1000
queue-python 64 526
queue-python 64 770
queue-python 64 896
queue-python 64 477
queue-python 64 751
queue-python 64 372
queue-python 64 532
queue-python 0 147
queue-python 64 335
queue-python 64 661
queue-python 64 571
queue-python 64 449
queue-python 64 898
queue-python 64 366
queue-python 64 429
queue-python 64 466
queue-python 64 355
queue-python 64 526
queue-python 64 709
queue-python 64 562
queue-python 64 609
queue-python 64 600
queue-python 64 941
queue-python 0 211
queue-python 0 254
queue-python 64 410
queue-python 64 457
queue-python 64 827
queue-python 64 592
queue-python 0 230
queue-python 64 424
queue-python 64 680
queue-python 64 496
queue-python 64 877
queue-python 64 817
queue-python 0 132
queue-python 0 204
queue-python 64 327
queue-python 64 594
queue-python 64 607
queue-python 64 760
queue-python 64 646
queue-python 0 204
queue-python 0 146
queue-python 64 318
queue-python 64 507
queue-python 0 243
queue-python 64 627
queue-python 64 511
queue-python 64 610
queue-python 64 387
queue-python 64 604
queue-python 64 646
queue-python 64 331
queue-python 64 413
queue-python 64 750
queue-python 64 477
queue-python 64 917
queue-python 64 483
queue-python 64 613
queue-python 64 788
queue-python 64 492
queue-python 64 646
queue-python 64 663
queue-python 64 972
queue-python 64 854
queue-python 64 932
queue-python 64 478
queue-python 64 621
queue-python 0 176
queue-python 64 562
queue-python 64 291
queue-python 0 128
queue-python 64 698
queue-python 64 392
queue-python 64 277
queue-python 64 491
queue-python 0 164
queue-python 64 961
queue-python 64 559
queue-python 64 480
queue-python 64 300
queue-python 64 650
queue-python 0 110
queue-python 64 431
queue-python 64 685
queue-python 64 753
queue-python 64 483
queue-python 64 489
queue-python 64 502
queue-python 0 163
queue-python 64 583
queue-python 0 217
queue-python 64 433
queue-python 64 874
queue-python 64 718
queue-python 64 522
queue-python 64 880
queue-python 0 126
queue-python 64 1000
queue-python 64 526
queue-python 64 770
queue-python 64 896
queue-python 64 477
queue-python 64 751
queue-python 64 372
queue-python 64 532
queue-python 0 147
queue-python 64 335
queue-python 64 661
queue-python 64 571
queue-python 64 449
queue-python 64 898
queue-python 64 366
queue-python 64 429
queue-python 64 466
queue-python 64 355
queue-python 64 526
queue-python 64 709
queue-python 64 562
queue-python 64 609
queue-python 64 600
queue-python 64 941
queue-python 0 211
queue-python 0 254
queue-python 64 410
queue-python 64 457
queue-python 64 827
queue-python 64 592
queue-python 0 230
queue-python 64 424
queue-python 64 680
queue-python 64 496
queue-python 64 877
queue-python 64 817
queue-python 0 132
queue-python 64 3676
queue-python 64 6840
queue-python 64 1316
queue-python 64 3251
queue-python 64 8564
queue-python 64 5328
queue-python 64 4495
queue-python 64 8971
queue-python 64 7727
queue-python 64 9213
queue-python 64 5592
queue-python 64 3544
queue-python 64 5639
queue-python 64 2974
queue-python 64 9199
queue-python 64 4985
queue-python 64 4570
queue-python 64 3842
queue-python 64 5298
queue-python 64 9580
queue-python 64 2973
queue-python 64 7367
queue-python 64 5744
queue-python 64 3133
queue-python 64 1794
queue-python 64 7479
queue-python 64 7573
queue-python 64 3065
queue-python 64 7199
queue-python 64 8381
queue-python 64 1232
queue-python 64 4723
queue-python 64 7408
queue-python 64 9543
queue-python 64 1635
queue-python 64 4464
queue-python 64 4964
queue-python 64 2160
queue-python 64 5851
queue-python 64 9042
queue-python 64 8857
queue-python 64 9324
queue-python 64 8449
queue-python 64 4652
queue-python 64 7844
queue-python 64 1340
queue-python 64 7652
queue-python 64 3262
queue-python 64 5540
queue-python 64 3098
queue-python 64 2137
queue-python 64 7721
queue-python 64 9975
queue-python 64 8665
queue-python 64 9919
queue-python 64 5811
queue-python 64 5664
queue-python 64 9716
queue-python 64 4967
queue-python 64 9912
queue-python 64 1788
queue-python 64 2647
queue-python 64 2415
queue-python 64 2844
queue-python 64 3784
queue-python 64 7102
queue-python 64 2723
queue-python 64 9005
queue-python 64 5111
queue-python 64 7820
queue-python 64 5485
queue-python 64 3712
queue-python 64 3693
queue-python 64 9910
queue-python 64 1327
queue-python 64 6908
queue-python 64 6989
queue-python 64 7083
queue-python 64 3015
queue-python 64 1137
queue-python 64 8016
queue-python 64 4869
queue-python 64 3974
queue-python 64 8837
queue-python 64 9557
queue-python 64 5070
queue-python 64 5799
queue-python 64 6654
queue-python 64 2820
queue-python 64 5643
queue-python 64 7072
queue-python 64 6261
queue-python 64 5799
queue-python 64 3659
queue-python 64 4673
queue-python 64 8755
queue-python 64 2593
queue-python 64 5257
queue-python 64 6207
queue-python 64 3907
queue-cpp 0 204
queue-cpp 0 327
queue-cpp 0 594
queue-cpp 0 607
queue-cpp 0 760
queue-cpp 0 646
queue-cpp 0 204
queue-cpp 0 146
queue-cpp 0 318
queue-cpp 0 507
queue-cpp 0 243
queue-cpp 0 627
queue-cpp 0 511
queue-cpp 0 610
queue-cpp 0 387
queue-cpp 0 604
queue-cpp 0 646
queue-cpp 0 331
queue-cpp 0 413
queue-cpp 0 750
queue-cpp 0 477
queue-cpp 0 917
queue-cpp 0 483
queue-cpp 0 613
queue-cpp 0 788
queue-cpp 0 492
queue-cpp 0 646
queue-cpp 0 663
queue-cpp 0 972
queue-cpp 0 854
queue-cpp 0 932
queue-cpp 0 478
queue-cpp 0 621
queue-cpp 0 176
queue-cpp 0 562
queue-cpp 0 291
queue-cpp 0 128
queue-cpp 0 698
queue-cpp 0 392
queue-cpp 0 277
queue-cpp 0 491
queue-cpp 0 164
queue-cpp 0 961
queue-cpp 0 559
queue-cpp 0 480
queue-cpp 0 300
queue-cpp 0 650
queue-cpp 0 110
queue-cpp 0 431
queue-cpp 0 685
queue-cpp 0 753
queue-cpp 0 483
queue-cpp 0 489
queue-cpp 0 502
queue-cpp 0 163
queue-cpp 0 583
queue-cpp 0 217
queue-cpp 0 433
queue-cpp 0 874
queue-cpp 0 718
queue-cpp 0 522
queue-cpp 0 880
queue-cpp 0 126
queue-cpp 0 1000
queue-cpp 0 526
queue-cpp 0 770
queue-cpp 0 896
queue-cpp 0 477
queue-cpp 0 751
queue-cpp 0 372
queue-cpp 0 532
queue-cpp 0 147
queue-cpp 0 335
queue-cpp 0 661
queue-cpp 0 571
queue-cpp 0 449
queue-cpp 0 898
queue-cpp 0 366
queue-cpp 0 429
queue-cpp 0 466
queue-cpp 0 355
queue-cpp 0 526
queue-cpp 0 709
queue-cpp 0 562
queue-cpp 0 609
queue-cpp 0 600
queue-cpp 0 941
queue-cpp 0 211
queue-cpp 0 254
queue-cpp 0 410
queue-cpp 0 457
queue-cpp 0 827
queue-cpp 0 592
queue-cpp 0 230
queue-cpp 0 424
queue-cpp 0 680
queue-cpp 0 496
queue-cpp 0 877
queue-cpp 0 817
queue-cpp 0 132
queue-cpp 0 3676
queue-cpp 0 6840
queue-cpp 0 1316
queue-cpp 0 3251
queue-cpp 0 8564
queue-cpp 0 5328
queue-cpp 0 4495
queue-cpp 0 8971
queue-cpp 0 7727
queue-cpp 0 9213
queue-cpp 0 5592
queue-cpp 0 3544
queue-cpp 0 5639
queue-cpp 0 2974
queue-cpp 0 9199
queue-cpp 0 4985
queue-cpp 0 4570
queue-cpp 0 3842
queue-cpp 0 5298
queue-cpp 0 9580
queue-cpp 0 2973
queue-cpp 0 7367
queue-cpp 0 5744
queue-cpp 0 3133
queue-cpp 0 1794
queue-cpp 0 7479
queue-cpp 0 7573
queue-cpp 0 3065
queue-cpp 0 7199
queue-cpp 0 8381
queue-cpp 0 1232
queue-cpp 0 4723
queue-cpp 0 7408
queue-cpp 0 9543
queue-cpp 0 1635
queue-cpp 0 4464
queue-cpp 0 4964
queue-cpp 0 2160
queue-cpp 0 5851
queue-cpp 0 9042
queue-cpp 0 8857
queue-cpp 0 9324
queue-cpp 0 8449
queue-cpp 0 4652
queue-cpp 0 7844
queue-cpp 0 1340
queue-cpp 0 7652
queue-cpp 0 3262
queue-cpp 0 5540
queue-cpp 0 3098
queue-cpp 0 2137
queue-cpp 0 7721
queue-cpp 0 9975
queue-cpp 0 8665
queue-cpp 0 9919
queue-cpp 0 5811
queue-cpp 0 5664
queue-cpp 0 9716
queue-cpp 0 4967
queue-cpp 0 9912
queue-cpp 0 1788
queue-cpp 0 2647
queue-cpp 0 2415
queue-cpp 0 2844
queue-cpp 0 3784
queue-cpp 0 7102
queue-cpp 0 2723
queue-cpp 0 9005
queue-cpp 0 5111
queue-cpp 0 7820
queue-cpp 0 5485
queue-cpp 0 3712
queue-cpp 0 3693
queue-cpp 0 9910
queue-cpp 0 1327
queue-cpp 0 6908
queue-cpp 0 6989
queue-cpp 0 7083
queue-cpp 0 3015
queue-cpp 0 1137
queue-cpp 0 8016
queue-cpp 0 4869
queue-cpp 0 3974
queue-cpp 0 8837
queue-cpp 0 9557
queue-cpp 0 5070
queue-cpp 0 5799
queue-cpp 0 6654
queue-cpp 0 2820
queue-cpp 0 5643
queue-cpp 0 7072
queue-cpp 0 6261
queue-cpp 0 5799
queue-cpp 0 3659
queue-cpp 0 4673
queue-cpp 0 8755
queue-cpp 0 2593
queue-cpp 0 5257
queue-cpp 0 6207
queue-cpp 0 3907
queue-cpp 0 41462
queue-cpp 0 56705
queue-cpp 0 81108
queue-cpp 0 20187
queue-cpp 0 18687
queue-cpp 0 20650
queue-cpp 0 80383
