estrutura-linguagem tempo tamanho_da_entrada
linkedlist-java 1700 553
linkedlist-java 1200 922
linkedlist-java 800 597
linkedlist-java 1200 915
linkedlist-java 500 315
linkedlist-java 700 483
linkedlist-java 600 409
linkedlist-java 600 412
linkedlist-java 300 185
linkedlist-java 200 113
linkedlist-java 1100 882
linkedlist-java 100 85
linkedlist-java 500 335
linkedlist-java 300 166
linkedlist-java 900 746
linkedlist-java 300 234
linkedlist-java 1000 845
linkedlist-java 800 615
linkedlist-java 100 49
linkedlist-java 1100 898
linkedlist-java 100 22
linkedlist-java 400 308
linkedlist-java 400 316
linkedlist-java 700 652
linkedlist-java 100 86
linkedlist-java 400 329
linkedlist-java 600 550
linkedlist-java 1000 908
linkedlist-java 500 458
linkedlist-java 400 389
linkedlist-java 900 762
linkedlist-java 700 629
linkedlist-java 500 470
linkedlist-java 200 156
linkedlist-java 1000 867
linkedlist-java 100 126
linkedlist-java 100 38
linkedlist-java 900 831
linkedlist-java 300 265
linkedlist-java 700 631
linkedlist-java 700 631
linkedlist-java 200 172
linkedlist-java 100 41
linkedlist-java 600 482
linkedlist-java 400 327
linkedlist-java 700 581
linkedlist-java 200 158
linkedlist-java 300 282
linkedlist-java 500 399
linkedlist-java 300 232
linkedlist-java 100 84
linkedlist-java 700 630
linkedlist-java 1100 927
linkedlist-java 1000 835
linkedlist-java 300 239
linkedlist-java 1000 839
linkedlist-java 200 200
linkedlist-java 600 547
linkedlist-java 700 574
linkedlist-java 300 208
linkedlist-java 400 315
linkedlist-java 1000 867
linkedlist-java 900 823
linkedlist-java 1000 857
linkedlist-java 0 14
linkedlist-java 800 716
linkedlist-java 100 95
linkedlist-java 900 797
linkedlist-java 200 121
linkedlist-java 1000 912
linkedlist-java 400 390
linkedlist-java 400 309
linkedlist-java 100 84
linkedlist-java 600 493
linkedlist-java 300 247
linkedlist-java 200 143
linkedlist-java 200 139
linkedlist-java 1000 871
linkedlist-java 400 349
linkedlist-java 400 307
linkedlist-java 900 811
linkedlist-java 900 782
linkedlist-java 1000 862
linkedlist-java 500 380
linkedlist-java 100 118
linkedlist-java 100 53
linkedlist-java 900 752
linkedlist-java 600 506
linkedlist-java 1000 844
linkedlist-java 1000 874
linkedlist-java 400 344
linkedlist-java 700 546
linkedlist-java 600 571
linkedlist-java 1000 824
linkedlist-java 200 140
linkedlist-java 1000 860
linkedlist-java 200 202
linkedlist-java 600 544
linkedlist-java 200 181
linkedlist-java 600 489
linkedlist-java 3500 2640
linkedlist-java 7400 6202
linkedlist-java 10800 9462
linkedlist-java 9100 7879
linkedlist-java 2400 1997
linkedlist-java 7000 6109
linkedlist-java 7900 6797
linkedlist-java 4900 4219
linkedlist-java 6000 5250
linkedlist-java 9600 8474
linkedlist-java 3500 3053
linkedlist-java 3900 3437
linkedlist-java 10500 9299
linkedlist-java 6400 5647
linkedlist-java 10700 9402
linkedlist-java 8000 7061
linkedlist-java 6600 5860
linkedlist-java 4100 3618
linkedlist-java 4100 3607
linkedlist-java 3900 3431
linkedlist-java 7300 6377
linkedlist-java 5600 4910
linkedlist-java 9600 8432
linkedlist-java 4900 4341
linkedlist-java 1900 1694
linkedlist-java 10500 9256
linkedlist-java 5700 5005
linkedlist-java 2500 2212
linkedlist-java 3900 3416
linkedlist-java 2800 2459
linkedlist-java 3400 2991
linkedlist-java 6000 5285
linkedlist-java 5900 5200
linkedlist-java 10900 9613
linkedlist-java 4400 3932
linkedlist-java 10300 9082
linkedlist-java 2400 2087
linkedlist-java 1600 1409
linkedlist-java 6700 5903
linkedlist-java 5200 4624
linkedlist-java 8800 7785
linkedlist-java 3100 2710
linkedlist-java 9400 8146
linkedlist-java 10500 9257
linkedlist-java 5100 4518
linkedlist-java 6400 5660
linkedlist-java 7700 6788
linkedlist-java 8300 7293
linkedlist-java 8900 7844
linkedlist-java 9900 8789
linkedlist-java 4200 3722
linkedlist-java 6700 5951
linkedlist-java 4700 4168
linkedlist-java 11300 9948
linkedlist-java 3400 2981
linkedlist-java 2200 1908
linkedlist-java 2600 2334
linkedlist-java 10100 8945
linkedlist-java 2100 1812
linkedlist-java 3000 2684
linkedlist-java 7600 6732
linkedlist-java 8500 7497
linkedlist-java 10900 9514
linkedlist-java 6400 5689
linkedlist-java 9600 8446
linkedlist-java 4400 3864
linkedlist-java 8300 7292
linkedlist-java 9600 8499
linkedlist-java 6700 5865
linkedlist-java 1500 1333
linkedlist-java 8700 7629
linkedlist-java 3400 2973
linkedlist-java 6100 5417
linkedlist-java 1800 1617
linkedlist-java 3000 2620
linkedlist-java 5200 4600
linkedlist-java 10400 9109
linkedlist-java 6200 5446
linkedlist-java 3000 2644
linkedlist-java 4400 3884
linkedlist-java 2500 2231
linkedlist-java 3400 2961
linkedlist-java 9100 8076
linkedlist-java 4100 3590
linkedlist-java 1800 1576
linkedlist-java 9100 8023
linkedlist-java 4000 3523
linkedlist-java 3000 2628
linkedlist-java 5200 4602
linkedlist-java 2700 2397
linkedlist-java 10600 9292
linkedlist-java 9900 8724
linkedlist-java 7600 6733
linkedlist-java 5800 5110
linkedlist-java 10900 9419
linkedlist-java 8100 7205
linkedlist-java 5100 4465
linkedlist-java 1300 1092
linkedlist-java 1300 1103
linkedlist-java 2900 2541
linkedlist-java 82900 72688
linkedlist-java 84600 74247
linkedlist-java 68100 58525
linkedlist-java 29200 25567
linkedlist-java 19100 16762
linkedlist-java 80100 70373
linkedlist-java 88400 73927
linkedlist-java 80300 69865
linkedlist-java 30300 26645
linkedlist-java 91800 80823
linkedlist-java 103600 91361
linkedlist-java 89500 78839
linkedlist-java 72800 64318
linkedlist-java 75000 66229
linkedlist-java 100500 87966
linkedlist-java 50000 43548
linkedlist-java 107500 94743
linkedlist-java 73700 65032
linkedlist-java 62500 55282
linkedlist-java 51700 45484
linkedlist-java 92500 77531
linkedlist-java 100600 88587
linkedlist-java 57200 50140
linkedlist-java 62600 55213
linkedlist-java 51900 45819
linkedlist-java 30800 27369
linkedlist-java 101800 89850
linkedlist-java 37200 32949
linkedlist-java 30900 27100
linkedlist-java 29300 25995
linkedlist-java 46900 40682
linkedlist-java 66200 58526
linkedlist-java 59900 52987
linkedlist-java 100500 88011
linkedlist-java 84500 74460
linkedlist-java 27700 24570
linkedlist-java 49800 43818
linkedlist-java 71700 63406
linkedlist-java 76900 68063
linkedlist-java 96500 85174
linkedlist-java 31200 27698
linkedlist-java 61400 54366
linkedlist-java 84700 74778
linkedlist-java 85600 75442
linkedlist-java 41400 36609
linkedlist-java 14800 13084
linkedlist-java 47800 42238
linkedlist-java 61300 54288
linkedlist-java 77100 67879
linkedlist-java 50000 44103
linkedlist-java 88100 77836
linkedlist-java 50000 44136
linkedlist-java 40900 36278
linkedlist-java 23100 20456
linkedlist-java 80100 70742
linkedlist-java 63000 55710
linkedlist-java 105400 92421
linkedlist-java 74100 65576
linkedlist-java 108600 95216
